"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Loss/Train","FCNN_Late_Fusion_ultrasound - Loss/Train__MIN","FCNN_Late_Fusion_ultrasound - Loss/Train__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Loss/Train","FCNN_Mid_Fusion_ultrasound - Loss/Train__MIN","FCNN_Mid_Fusion_ultrasound - Loss/Train__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Loss/Train","FCNN_no_ultrasound - Loss/Train__MIN","FCNN_no_ultrasound - Loss/Train__MAX","IMAV_Late_Fusion_ultrasound - _step","IMAV_Late_Fusion_ultrasound - _step__MIN","IMAV_Late_Fusion_ultrasound - _step__MAX","IMAV_Late_Fusion_ultrasound - Loss/Train","IMAV_Late_Fusion_ultrasound - Loss/Train__MIN","IMAV_Late_Fusion_ultrasound - Loss/Train__MAX","IMAV_Mid_Fusion_ultrasound - _step","IMAV_Mid_Fusion_ultrasound - _step__MIN","IMAV_Mid_Fusion_ultrasound - _step__MAX","IMAV_Mid_Fusion_ultrasound - Loss/Train","IMAV_Mid_Fusion_ultrasound - Loss/Train__MIN","IMAV_Mid_Fusion_ultrasound - Loss/Train__MAX","IMAV_no_ultrasound - _step","IMAV_no_ultrasound - _step__MIN","IMAV_no_ultrasound - _step__MAX","IMAV_no_ultrasound - Loss/Train","IMAV_no_ultrasound - Loss/Train__MIN","IMAV_no_ultrasound - Loss/Train__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Loss/Train","UNet_Late_Fusion_ultrasound - Loss/Train__MIN","UNet_Late_Fusion_ultrasound - Loss/Train__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Loss/Train","UNet_Mid_Fusion_ultrasound - Loss/Train__MIN","UNet_Mid_Fusion_ultrasound - Loss/Train__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Loss/Train","UNet_no_ultrasound - Loss/Train__MIN","UNet_no_ultrasound - Loss/Train__MAX"
"10","30","30","30","0.1584473168477416","0.1584473168477416","0.1584473168477416","30","30","30","0.1507168347015977","0.1507168347015977","0.1507168347015977","30","30","30","0.21953954889128605","0.21953954889128605","0.21953954889128605","513.5","490","537","1.4904900260933645","1.4743655254674513","1.5724668502807617","513.5","490","537","1.3072647707457492","1.2737548351287842","1.3188588454805572","513.5","490","537","1.6900413907890697","1.6759330726438952","1.7299405336380005","30","30","30","0.139985345924894","0.139985345924894","0.139985345924894","30","30","30","0.1506236158311367","0.1506236158311367","0.1506236158311367","30","30","30","0.1990407221019268","0.1990407221019268","0.1990407221019268"
"11","33","33","33","0.15781295113265514","0.15781295113265514","0.15781295113265514","33","33","33","0.15027744912852845","0.15027744912852845","0.15027744912852845","33","33","33","0.21813351412614188","0.21813351412614188","0.21813351412614188","562.5","539","586","1.4523673862435222","1.4318137168884277","1.4776413440704346","562.5","539","586","1.2893707076669276","1.279110960662365","1.3730213642120361","562.5","539","586","1.6624588811422052","1.6515074670314789","1.6832598745822906","33","33","33","0.13943686770896116","0.13943686770896116","0.13943686770896116","33","33","33","0.14973014251639447","0.14973014251639447","0.14973014251639447","33","33","33","0.19776725272337595","0.19776725272337595","0.19776725272337595"
"12","36","36","36","0.15613197783629099","0.15613197783629099","0.15613197783629099","36","36","36","0.14905275031924248","0.14905275031924248","0.14905275031924248","36","36","36","0.21614232131590447","0.21614232131590447","0.21614232131590447","611.5","588","635","1.415115494792859","1.3970612552430894","1.4658770561218262","611.5","588","635","1.248460284867542","1.2241779565811157","1.2726255655288696","611.5","588","635","1.616027415306814","1.5739257335662842","1.6387072975436847","36","36","36","0.1388737509648005","0.1388737509648005","0.1388737509648005","36","36","36","0.14931539570291838","0.14931539570291838","0.14931539570291838","36","36","36","0.1960505216072003","0.1960505216072003","0.1960505216072003"
"13","39","39","39","0.1554698757827282","0.1554698757827282","0.1554698757827282","39","39","39","0.1491308162609736","0.1491308162609736","0.1491308162609736","39","39","39","0.21582348085939884","0.21582348085939884","0.21582348085939884","660.5","637","684","1.383404290668744","1.3547114729881287","1.3969781637191772","660.5","637","684","1.2146394444953688","1.1545753479003906","1.2254447221755982","660.5","637","684","1.5989238174039215","1.5865624860713357","1.627268460061815","39","39","39","0.13821781737109026","0.13821781737109026","0.13821781737109026","39","39","39","0.1491982601583004","0.1491982601583004","0.1491982601583004","39","39","39","0.1949408274764816","0.1949408274764816","0.1949408274764816"
"14","42","42","42","0.15412921334306398","0.15412921334306398","0.15412921334306398","42","42","42","0.14741214830428362","0.14741214830428362","0.14741214830428362","42","42","42","0.2135183224454522","0.2135183224454522","0.2135183224454522","709.5","686","733","1.3615265434438646","1.3450836287604437","1.469006061553955","709.5","686","733","1.1936889302687639","1.1704248189926147","1.2218289971351624","709.5","686","733","1.5464050119068231","1.5289202332496643","1.5587806593288074","42","42","42","0.1376471177985271","0.1376471177985271","0.1376471177985271","42","42","42","0.14936862730731568","0.14936862730731568","0.14936862730731568","42","42","42","0.19363054695228735","0.19363054695228735","0.19363054695228735"
"15","45","45","45","0.15385121821115413","0.15385121821115413","0.15385121821115413","45","45","45","0.1478058366725842","0.1478058366725842","0.1478058366725842","45","45","45","0.21228764423479637","0.21228764423479637","0.21228764423479637","758.5","735","782","1.3264847406505533","1.3072490692138672","1.4215731620788574","758.5","735","782","1.14958860059052","1.109776258468628","1.1630853745672438","758.5","735","782","1.5135843129684803","1.5027494430541992","1.5255870413272938","45","45","45","0.13725307459632555","0.13725307459632555","0.13725307459632555","45","45","45","0.14896059532960257","0.14896059532960257","0.14896059532960257","45","45","45","0.1928547117859125","0.1928547117859125","0.1928547117859125"
"16","48","48","48","0.1523062763735652","0.1523062763735652","0.1523062763735652","48","48","48","0.1473435079678893","0.1473435079678893","0.1473435079678893","48","48","48","0.21150640025734901","0.21150640025734901","0.21150640025734901","807.5","784","831","1.294107274367151","1.27373548746109","1.3052623271942139","807.5","784","831","1.1214868284108037","1.095531940460205","1.1527471542358398","807.5","784","831","1.5129302786820757","1.4931570900247453","1.540026585261027","48","48","48","0.1368789430707693","0.1368789430707693","0.1368789430707693","48","48","48","0.14856611595799527","0.14856611595799527","0.14856611595799527","48","48","48","0.19126356299966574","0.19126356299966574","0.19126356299966574"
"17","51","51","51","0.15254059682289758","0.15254059682289758","0.15254059682289758","51","51","51","0.14654111862182617","0.14654111862182617","0.14654111862182617","51","51","51","0.21212099865078926","0.21212099865078926","0.21212099865078926","856.5","833","880","1.2498738092511312","1.2060022354125977","1.2578710615634918","856.5","833","880","1.1068772026908844","1.0993280410766602","1.1276055063520158","856.5","833","880","1.435540335746124","1.4178408284982045","1.4629839062690735","51","51","51","0.13655147732545933","0.13655147732545933","0.13655147732545933","51","51","51","0.14896375375489393","0.14896375375489393","0.14896375375489393","51","51","51","0.19046620652079582","0.19046620652079582","0.19046620652079582"
"18","54","54","54","0.1521049222598473","0.1521049222598473","0.1521049222598473","54","54","54","0.14608321928729615","0.14608321928729615","0.14608321928729615","54","54","54","0.21136832299331823","0.21136832299331823","0.21136832299331823","905.5","882","929","1.212173889829327","1.19521564245224","1.2234803798586824","905.5","882","929","1.0965647992504248","1.0823202819535227","1.1791460514068604","905.5","882","929","1.3992582651996377","1.39093755147396","1.4529998302459717","54","54","54","0.13609397131949663","0.13609397131949663","0.13609397131949663","54","54","54","0.14791035496940216","0.14791035496940216","0.14791035496940216","54","54","54","0.1893924322600166","0.1893924322600166","0.1893924322600166"
"19","57","57","57","0.15447337397684655","0.15447337397684655","0.15447337397684655","57","57","57","0.1454826444387436","0.1454826444387436","0.1454826444387436","57","57","57","0.21118174493312836","0.21118174493312836","0.21118174493312836","954.5","931","978","1.1629323335060344","1.1482858737309773","1.198434829711914","954.5","931","978","1.057105726209426","0.9951690435409546","1.0668636818189878","954.5","931","978","1.352952840319008","1.3255977630615234","1.372527725994587","57","57","57","0.13612146272013584","0.13612146272013584","0.13612146272013584","57","57","57","0.14767681900411844","0.14767681900411844","0.14767681900411844","57","57","57","0.1883637004842361","0.1883637004842361","0.1883637004842361"
