"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Pearson/Val","FCNN_Late_Fusion_ultrasound - Pearson/Val__MIN","FCNN_Late_Fusion_ultrasound - Pearson/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Pearson/Val","FCNN_Mid_Fusion_ultrasound - Pearson/Val__MIN","FCNN_Mid_Fusion_ultrasound - Pearson/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Pearson/Val","FCNN_no_ultrasound - Pearson/Val__MIN","FCNN_no_ultrasound - Pearson/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Pearson/Val","UNet_Late_Fusion_ultrasound - Pearson/Val__MIN","UNet_Late_Fusion_ultrasound - Pearson/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Pearson/Val","UNet_Mid_Fusion_ultrasound - Pearson/Val__MIN","UNet_Mid_Fusion_ultrasound - Pearson/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Pearson/Val","UNet_no_ultrasound - Pearson/Val__MIN","UNet_no_ultrasound - Pearson/Val__MAX"
"11","35","35","35","0.6133222180519353","0.6133222180519353","0.6133222180519353","35","35","35","0.6179457966454122","0.6179457966454122","0.6179457966454122","35","35","35","0.3869553727768426","0.3869553727768426","0.3869553727768426","35","35","35","0.6863199794809673","0.6863199794809673","0.6863199794809673","35","35","35","0.609665045581269","0.609665045581269","0.609665045581269","35","35","35","0.5181414308669381","0.5181414308669381","0.5181414308669381"
"12","38","38","38","0.5888691166973911","0.5888691166973911","0.5888691166973911","38","38","38","0.6153531815935116","0.6153531815935116","0.6153531815935116","38","38","38","0.3043334800753081","0.3043334800753081","0.3043334800753081","38","38","38","0.6699525991267694","0.6699525991267694","0.6699525991267694","38","38","38","0.610593754088936","0.610593754088936","0.610593754088936","38","38","38","0.5206260061506747","0.5206260061506747","0.5206260061506747"
"13","41","41","41","0.5472870571520921","0.5472870571520921","0.5472870571520921","41","41","41","0.6247677124768036","0.6247677124768036","0.6247677124768036","41","41","41","0.39765487838929237","0.39765487838929237","0.39765487838929237","41","41","41","0.7005198588364947","0.7005198588364947","0.7005198588364947","41","41","41","0.6123524651476276","0.6123524651476276","0.6123524651476276","41","41","41","0.5262490160925524","0.5262490160925524","0.5262490160925524"
"14","44","44","44","0.5428940137943532","0.5428940137943532","0.5428940137943532","44","44","44","0.6230306507643396","0.6230306507643396","0.6230306507643396","44","44","44","0.35962561327123277","0.35962561327123277","0.35962561327123277","44","44","44","0.6880031340452852","0.6880031340452852","0.6880031340452852","44","44","44","0.6136520115474137","0.6136520115474137","0.6136520115474137","44","44","44","0.5153183910510037","0.5153183910510037","0.5153183910510037"
"15","47","47","47","0.6025658839589084","0.6025658839589084","0.6025658839589084","47","47","47","0.6267278609346351","0.6267278609346351","0.6267278609346351","47","47","47","0.4071724801869212","0.4071724801869212","0.4071724801869212","47","47","47","0.6904677132931278","0.6904677132931278","0.6904677132931278","47","47","47","0.6155604425784548","0.6155604425784548","0.6155604425784548","47","47","47","0.5215574569891737","0.5215574569891737","0.5215574569891737"
"16","50","50","50","0.6004869324732525","0.6004869324732525","0.6004869324732525","50","50","50","0.6305213396585059","0.6305213396585059","0.6305213396585059","50","50","50","0.39414682807451906","0.39414682807451906","0.39414682807451906","50","50","50","0.6872770804852701","0.6872770804852701","0.6872770804852701","50","50","50","0.6129404931339636","0.6129404931339636","0.6129404931339636","50","50","50","0.5534686007497996","0.5534686007497996","0.5534686007497996"
"17","53","53","53","0.6036764789586188","0.6036764789586188","0.6036764789586188","53","53","53","0.6301072545916614","0.6301072545916614","0.6301072545916614","53","53","53","0.401947814737625","0.401947814737625","0.401947814737625","53","53","53","0.6982981908120767","0.6982981908120767","0.6982981908120767","53","53","53","0.6155128609727496","0.6155128609727496","0.6155128609727496","53","53","53","0.5485174876392668","0.5485174876392668","0.5485174876392668"
"18","56","56","56","0.6178324776903071","0.6178324776903071","0.6178324776903071","56","56","56","0.631472284407947","0.631472284407947","0.631472284407947","56","56","56","0.39985630680846307","0.39985630680846307","0.39985630680846307","56","56","56","0.6986654658316304","0.6986654658316304","0.6986654658316304","56","56","56","0.6155551663680761","0.6155551663680761","0.6155551663680761","56","56","56","0.5638857214490538","0.5638857214490538","0.5638857214490538"
"19","59","59","59","0.5986087631064153","0.5986087631064153","0.5986087631064153","59","59","59","0.6321871247338293","0.6321871247338293","0.6321871247338293","59","59","59","0.4108224250754306","0.4108224250754306","0.4108224250754306","59","59","59","0.6981497109949484","0.6981497109949484","0.6981497109949484","59","59","59","0.6222889078326729","0.6222889078326729","0.6222889078326729","59","59","59","0.562096481967639","0.562096481967639","0.562096481967639"
"20","62","62","62","0.617356514650557","0.617356514650557","0.617356514650557","62","62","62","0.62831623898341","0.62831623898341","0.62831623898341","62","62","62","0.3941487823349534","0.3941487823349534","0.3941487823349534","62","62","62","0.7004639169677039","0.7004639169677039","0.7004639169677039","62","62","62","0.626469934996227","0.626469934996227","0.626469934996227","62","62","62","0.55737312219471","0.55737312219471","0.55737312219471"
"21","65","65","65","0.6185032897621646","0.6185032897621646","0.6185032897621646","65","65","65","0.6357750763701179","0.6357750763701179","0.6357750763701179","65","65","65","0.42895581558976825","0.42895581558976825","0.42895581558976825","65","65","65","0.6949929717115789","0.6949929717115789","0.6949929717115789","65","65","65","0.6266924486058748","0.6266924486058748","0.6266924486058748","65","65","65","0.5687559662787752","0.5687559662787752","0.5687559662787752"
"22","68","68","68","0.6104269374234955","0.6104269374234955","0.6104269374234955","68","68","68","0.6343294704616237","0.6343294704616237","0.6343294704616237","68","68","68","0.3768203172280958","0.3768203172280958","0.3768203172280958","68","68","68","0.689500674338309","0.689500674338309","0.689500674338309","68","68","68","0.6235493458696393","0.6235493458696393","0.6235493458696393","68","68","68","0.5844594328039767","0.5844594328039767","0.5844594328039767"
"23","71","71","71","0.6181816250874451","0.6181816250874451","0.6181816250874451","71","71","71","0.6373488818570331","0.6373488818570331","0.6373488818570331","71","71","71","0.4220214231791879","0.4220214231791879","0.4220214231791879","71","71","71","0.7071345582550401","0.7071345582550401","0.7071345582550401","71","71","71","0.6288516729049343","0.6288516729049343","0.6288516729049343","71","71","71","0.5838242792612554","0.5838242792612554","0.5838242792612554"
