"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - R2/Val","FCNN_Late_Fusion_ultrasound - R2/Val__MIN","FCNN_Late_Fusion_ultrasound - R2/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - R2/Val","FCNN_Mid_Fusion_ultrasound - R2/Val__MIN","FCNN_Mid_Fusion_ultrasound - R2/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - R2/Val","FCNN_no_ultrasound - R2/Val__MIN","FCNN_no_ultrasound - R2/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - R2/Val","UNet_Late_Fusion_ultrasound - R2/Val__MIN","UNet_Late_Fusion_ultrasound - R2/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - R2/Val","UNet_Mid_Fusion_ultrasound - R2/Val__MIN","UNet_Mid_Fusion_ultrasound - R2/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - R2/Val","UNet_no_ultrasound - R2/Val__MIN","UNet_no_ultrasound - R2/Val__MAX"
"15","47","47","47","0.25269317626953125","0.25269317626953125","0.25269317626953125","47","47","47","0.3075525760650635","0.3075525760650635","0.3075525760650635","47","47","47","0.13940423727035522","0.13940423727035522","0.13940423727035522","47","47","47","0.4435774087905884","0.4435774087905884","0.4435774087905884","47","47","47","0.31724584102630615","0.31724584102630615","0.31724584102630615","47","47","47","0.26944953203201294","0.26944953203201294","0.26944953203201294"
"16","50","50","50","0.26967954635620117","0.26967954635620117","0.26967954635620117","50","50","50","0.29311007261276245","0.29311007261276245","0.29311007261276245","50","50","50","0.13767486810684204","0.13767486810684204","0.13767486810684204","50","50","50","0.4379004240036011","0.4379004240036011","0.4379004240036011","50","50","50","0.2814156413078308","0.2814156413078308","0.2814156413078308","50","50","50","0.27063846588134766","0.27063846588134766","0.27063846588134766"
"17","53","53","53","0.2689300775527954","0.2689300775527954","0.2689300775527954","53","53","53","0.2781333923339844","0.2781333923339844","0.2781333923339844","53","53","53","0.15024173259735107","0.15024173259735107","0.15024173259735107","53","53","53","0.45947569608688354","0.45947569608688354","0.45947569608688354","53","53","53","0.24730634689331055","0.24730634689331055","0.24730634689331055","53","53","53","0.28233611583709717","0.28233611583709717","0.28233611583709717"
"18","56","56","56","0.3166123032569885","0.3166123032569885","0.3166123032569885","56","56","56","0.31781965494155884","0.31781965494155884","0.31781965494155884","56","56","56","0.134751558303833","0.134751558303833","0.134751558303833","56","56","56","0.45816630125045776","0.45816630125045776","0.45816630125045776","56","56","56","0.27682387828826904","0.27682387828826904","0.27682387828826904","56","56","56","0.3140332102775574","0.3140332102775574","0.3140332102775574"
"19","59","59","59","0.2617001533508301","0.2617001533508301","0.2617001533508301","59","59","59","0.3113381266593933","0.3113381266593933","0.3113381266593933","59","59","59","0.12683475017547607","0.12683475017547607","0.12683475017547607","59","59","59","0.45765459537506104","0.45765459537506104","0.45765459537506104","59","59","59","0.31719714403152466","0.31719714403152466","0.31719714403152466","59","59","59","0.30230969190597534","0.30230969190597534","0.30230969190597534"
"20","62","62","62","0.30198317766189575","0.30198317766189575","0.30198317766189575","62","62","62","0.30789315700531006","0.30789315700531006","0.30789315700531006","62","62","62","0.1385292410850525","0.1385292410850525","0.1385292410850525","62","62","62","0.4613732099533081","0.4613732099533081","0.4613732099533081","62","62","62","0.3333641290664673","0.3333641290664673","0.3333641290664673","62","62","62","0.30467259883880615","0.30467259883880615","0.30467259883880615"
"21","65","65","65","0.3095884323120117","0.3095884323120117","0.3095884323120117","65","65","65","0.3262036442756653","0.3262036442756653","0.3262036442756653","65","65","65","0.1609075665473938","0.1609075665473938","0.1609075665473938","65","65","65","0.4470445513725281","0.4470445513725281","0.4470445513725281","65","65","65","0.3283238410949707","0.3283238410949707","0.3283238410949707","65","65","65","0.3177192807197571","0.3177192807197571","0.3177192807197571"
"22","68","68","68","0.2828877568244934","0.2828877568244934","0.2828877568244934","68","68","68","0.3286181688308716","0.3286181688308716","0.3286181688308716","68","68","68","0.09167516231536865","0.09167516231536865","0.09167516231536865","68","68","68","0.4447777271270752","0.4447777271270752","0.4447777271270752","68","68","68","0.28017938137054443","0.28017938137054443","0.28017938137054443","68","68","68","0.3331521153450012","0.3331521153450012","0.3331521153450012"
"23","71","71","71","0.3042978048324585","0.3042978048324585","0.3042978048324585","71","71","71","0.3264918923377991","0.3264918923377991","0.3264918923377991","71","71","71","0.14489257335662842","0.14489257335662842","0.14489257335662842","71","71","71","0.47237730026245117","0.47237730026245117","0.47237730026245117","71","71","71","0.3065221309661865","0.3065221309661865","0.3065221309661865","71","71","71","0.33717936277389526","0.33717936277389526","0.33717936277389526"
"24","74","74","74","0.29613882303237915","0.29613882303237915","0.29613882303237915","74","74","74","0.33222466707229614","0.33222466707229614","0.33222466707229614","74","74","74","0.1553998589515686","0.1553998589515686","0.1553998589515686","74","74","74","0.4701961278915405","0.4701961278915405","0.4701961278915405","74","74","74","0.28658241033554077","0.28658241033554077","0.28658241033554077","74","74","74","0.3147357106208801","0.3147357106208801","0.3147357106208801"
